rank,category,match_score,skills_found,missing_skills
12,SALES,0.15592320499214835,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
13,AUTOMOBILE,0.1504886983894336,"['data analysis', 'machine learning', 'python', 'sql', 'statistics']","['cloud', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'scikit', 'tensorflow', 'visualization']"
14,DESIGNER,0.15025268493832702,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
15,BANKING,0.14309205364053287,"['cloud', 'data analysis', 'sql']","['deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
16,INFORMATION-TECHNOLOGY,0.14214482667128162,"['sql', 'visualization']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow']"
17,INFORMATION-TECHNOLOGY,0.13991214216473344,"['sql', 'statistics']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'tensorflow', 'visualization']"
18,ENGINEERING,0.13135315419126467,"['data analysis', 'sql', 'statistics']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'tensorflow', 'visualization']"
19,TEACHER,0.12466498595471452,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
20,DIGITAL-MEDIA,0.1188730954764809,"['cloud', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
21,INFORMATION-TECHNOLOGY,0.11667081111144036,"['python', 'sql', 'statistics']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'tensorflow', 'visualization']"
22,INFORMATION-TECHNOLOGY,0.11626417908387152,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
23,BUSINESS-DEVELOPMENT,0.1129587781076083,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
24,DIGITAL-MEDIA,0.11245406087406039,"['cloud', 'sql', 'visualization']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow']"
25,TEACHER,0.11190041800193758,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
26,BANKING,0.11171709294883353,"['cloud', 'deep learning', 'nlp', 'sql']","['data analysis', 'keras', 'machine learning', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
27,TEACHER,0.11142092727073413,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
28,ENGINEERING,0.11050333572231255,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
29,BUSINESS-DEVELOPMENT,0.11034415702778949,['python'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
30,INFORMATION-TECHNOLOGY,0.10877543656429813,"['cloud', 'sql', 'visualization']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow']"
31,ENGINEERING,0.10782168923917791,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
32,TEACHER,0.10607995899478566,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
33,INFORMATION-TECHNOLOGY,0.10526488819968588,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
34,TEACHER,0.0998369294185592,['visualization'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow']"
35,INFORMATION-TECHNOLOGY,0.09779561719322344,"['cloud', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
36,CONSULTANT,0.09661783682083805,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
37,INFORMATION-TECHNOLOGY,0.09630882459152659,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
38,DESIGNER,0.09609407973107334,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
39,BANKING,0.09338524789151967,"['cloud', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
40,CONSULTANT,0.09323591763996328,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
41,HEALTHCARE,0.09316533135805805,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
42,INFORMATION-TECHNOLOGY,0.09182195892200304,"['sql', 'statistics']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'tensorflow', 'visualization']"
43,APPAREL,0.09157158523865394,['statistics'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'tensorflow', 'visualization']"
44,INFORMATION-TECHNOLOGY,0.09120762969992391,"['cloud', 'python']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
45,APPAREL,0.09087791395586106,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
46,ENGINEERING,0.0897042057013974,"['cloud', 'machine learning', 'tensorflow']","['data analysis', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'visualization']"
47,ARTS,0.08955126278901006,['data analysis'],"['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
48,BANKING,0.08945286973393654,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
49,INFORMATION-TECHNOLOGY,0.08911045453138727,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
50,AVIATION,0.08856288641407212,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
51,AUTOMOBILE,0.0883962212226047,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
52,DIGITAL-MEDIA,0.08807110841550844,['machine learning'],"['cloud', 'data analysis', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
53,DESIGNER,0.08774229979284526,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
54,DIGITAL-MEDIA,0.08766174716341935,"['cloud', 'sql', 'visualization']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow']"
55,DESIGNER,0.08744419695808717,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
56,CONSULTANT,0.08739966546339807,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
57,ARTS,0.08591737166783159,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
58,DESIGNER,0.08532003873050621,['data analysis'],"['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
59,ADVOCATE,0.08513176441161238,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
60,CONSULTANT,0.08411455206980008,"['sql', 'statistics']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'tensorflow', 'visualization']"
61,HEALTHCARE,0.08372993162976354,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
62,HEALTHCARE,0.08357292221554058,"['data analysis', 'statistics']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'tensorflow', 'visualization']"
63,INFORMATION-TECHNOLOGY,0.08293727340316259,['data analysis'],"['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
64,ARTS,0.08238746703489379,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
65,AVIATION,0.08165901175239126,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
66,ENGINEERING,0.08150457510133728,"['machine learning', 'statistics']","['cloud', 'data analysis', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'tensorflow', 'visualization']"
67,PUBLIC-RELATIONS,0.08113549823805175,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
68,INFORMATION-TECHNOLOGY,0.0808331611683434,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
69,BANKING,0.08074954599105444,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
70,PUBLIC-RELATIONS,0.08038211514294628,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
71,TEACHER,0.08037045393645564,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
72,ENGINEERING,0.0791949495957133,"['data analysis', 'python', 'statistics']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'sql', 'tensorflow', 'visualization']"
73,TEACHER,0.07913789028366537,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
74,BUSINESS-DEVELOPMENT,0.07900207413575298,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
75,ENGINEERING,0.07803981632647994,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
76,TEACHER,0.07756234261312467,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
77,CONSULTANT,0.07727212396841138,"['cloud', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
78,FITNESS,0.07702272949781942,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
79,DESIGNER,0.07691691629746338,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
80,ENGINEERING,0.07685781707676641,['python'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
81,INFORMATION-TECHNOLOGY,0.0765670391824958,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
82,BUSINESS-DEVELOPMENT,0.07652462437730478,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
83,BANKING,0.07638069549650035,"['data analysis', 'statistics']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'tensorflow', 'visualization']"
84,INFORMATION-TECHNOLOGY,0.07625954381053511,"['cloud', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
85,CONSULTANT,0.07563006229342811,"['cloud', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
86,ENGINEERING,0.07550672156695591,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
87,ARTS,0.07547724617390127,['data analysis'],"['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
88,INFORMATION-TECHNOLOGY,0.07511374881514793,"['cloud', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
89,DESIGNER,0.07508286141796734,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
90,INFORMATION-TECHNOLOGY,0.07496036818032302,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
91,DESIGNER,0.07491361900015028,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
92,TEACHER,0.07488601237082249,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
93,PUBLIC-RELATIONS,0.07288392766602333,['visualization'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow']"
94,ACCOUNTANT,0.07286119810418032,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
95,AVIATION,0.07256059935708187,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
96,INFORMATION-TECHNOLOGY,0.07219290912484738,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
97,PUBLIC-RELATIONS,0.07175254948313081,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
98,CONSTRUCTION,0.07153449001310665,['cloud'],"['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
99,ENGINEERING,0.07126506900975545,['machine learning'],"['cloud', 'data analysis', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
100,CONSTRUCTION,0.07101890545866535,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
101,BUSINESS-DEVELOPMENT,0.07093539228052567,['cloud'],"['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
102,ENGINEERING,0.07068366571622002,"['sql', 'statistics']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'tensorflow', 'visualization']"
103,DESIGNER,0.07060762042112857,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
104,AVIATION,0.07059900611102309,"['data analysis', 'sql']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
105,INFORMATION-TECHNOLOGY,0.07040145128862967,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
106,INFORMATION-TECHNOLOGY,0.07027228228292326,"['cloud', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
107,TEACHER,0.07009849048030647,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
108,ENGINEERING,0.069978293906231,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
109,ACCOUNTANT,0.06988998530768928,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
110,TEACHER,0.06943135988358734,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
111,ENGINEERING,0.06914674707129218,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
112,INFORMATION-TECHNOLOGY,0.0690207281361658,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
113,AVIATION,0.06899259664746589,"['data analysis', 'statistics']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'tensorflow', 'visualization']"
114,INFORMATION-TECHNOLOGY,0.06882435330065194,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
115,CONSULTANT,0.06881451195739802,"['machine learning', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
116,HEALTHCARE,0.06864979107680447,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
117,ARTS,0.06863531481654814,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
118,INFORMATION-TECHNOLOGY,0.06803661137631288,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
119,HEALTHCARE,0.0680149894394804,['data analysis'],"['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
120,INFORMATION-TECHNOLOGY,0.06798224612055127,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
121,AUTOMOBILE,0.06795500529023918,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
122,BUSINESS-DEVELOPMENT,0.06748110550857869,"['sql', 'statistics']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'tensorflow', 'visualization']"
123,HEALTHCARE,0.06737179505445334,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
124,ENGINEERING,0.06723767560642972,"['python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
125,INFORMATION-TECHNOLOGY,0.06717374765212161,['cloud'],"['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
126,INFORMATION-TECHNOLOGY,0.06706148503825078,['sql'],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow', 'visualization']"
127,ENGINEERING,0.06703630428173485,"['machine learning', 'pandas', 'python', 'scikit', 'sql', 'tensorflow']","['cloud', 'data analysis', 'deep learning', 'keras', 'nlp', 'numpy', 'statistics', 'visualization']"
128,HEALTHCARE,0.06699802306826574,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
